Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 7.459733486175537, 'y': 3.5195093154907227, 'theta': -0.6359333992004395, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.479703426361084, 'y': 3.5052008628845215, 'theta': -0.6217158436775208, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.499875068664551, 'y': 3.491177558898926, 'theta': -0.6074983477592468, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.5202436447143555, 'y': 3.477442741394043, 'theta': -0.5932808518409729, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.540805339813232, 'y': 3.463998556137085, 'theta': -0.5790632963180542, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.561556339263916, 'y': 3.450848340988159, 'theta': -0.5648458003997803, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.582492351531982, 'y': 3.4379942417144775, 'theta': -0.5506283044815063, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.60360860824585, 'y': 3.4254393577575684, 'theta': -0.5364107489585876, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.62490177154541, 'y': 3.4131858348846436, 'theta': -0.5221932530403137, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.646366596221924, 'y': 3.401236057281494, 'theta': -0.507975697517395, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.667999267578125, 'y': 3.3895928859710693, 'theta': -0.4937582015991211, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
